"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.489580220E-1,-1.746760458E-1,3.828516230E-2,9.810872078E0,9.812501638E0
6.513461470E-1,-1.603191197E-1,5.503492057E-2,9.808479309E0,9.809943803E0
6.537342200E-1,-1.435693651E-1,5.982056633E-2,9.808479309E0,9.809712382E0
6.561222930E-1,-1.579262912E-1,4.307080805E-2,9.820742607E0,9.822106758E0
6.585104180E-1,-1.579262912E-1,5.503492057E-2,9.813264847E0,9.814689833E0
6.608984910E-1,-1.651047617E-1,5.503492057E-2,9.786943436E0,9.788490703E0
6.632866160E-1,-1.746760458E-1,4.067798331E-2,9.796515465E0,9.798157055E0
6.656746890E-1,-1.627119333E-1,4.067798331E-2,9.791728973E0,9.793165278E0
6.680628140E-1,-1.603191197E-1,4.546362907E-2,9.803693771E0,9.805109929E0
6.704508870E-1,-1.507478207E-1,5.982056633E-2,9.798908234E0,9.800250302E0
6.728389600E-1,-1.627119333E-1,3.589234129E-2,9.796515465E0,9.797932368E0
6.752270850E-1,-1.746760458E-1,2.392822690E-2,9.810872078E0,9.812456125E0
6.776151570E-1,-1.603191197E-1,1.196411345E-2,9.810872078E0,9.812189169E0
6.800032820E-1,-1.674975902E-1,2.392822690E-2,9.806086540E0,9.807546137E0
6.823913550E-1,-1.794617027E-1,1.914258115E-2,9.808479309E0,9.810139617E0
6.847794800E-1,-1.866401732E-1,3.349951655E-2,9.803693771E0,9.805527438E0
6.871675530E-1,-1.794617027E-1,3.589234129E-2,9.796515465E0,9.798224840E0
6.895556260E-1,-1.722832322E-1,2.871387079E-2,9.798908234E0,9.800464712E0
6.919437510E-1,-1.651047617E-1,3.349951655E-2,9.806086540E0,9.807533586E0
6.943318240E-1,-1.722832322E-1,2.632104978E-2,9.803693771E0,9.805242775E0
6.967199490E-1,-1.818545163E-1,3.589234129E-2,9.794121742E0,9.795875664E0
6.991080220E-1,-1.770688742E-1,4.546362907E-2,9.784550667E0,9.786258329E0
7.014961470E-1,-1.914258152E-1,3.349951655E-2,9.782157898E0,9.784088062E0
7.038842200E-1,-1.794617027E-1,4.546362907E-2,9.789336205E0,9.791086598E0
7.062722930E-1,-1.746760458E-1,1.914258115E-2,9.798908234E0,9.800483699E0
7.086604180E-1,-1.746760458E-1,2.153540403E-2,9.796515465E0,9.798096282E0
7.110484910E-1,-1.627119333E-1,4.307080805E-2,9.813264847E0,9.814708209E0
7.134366160E-1,-1.674975902E-1,2.632104978E-2,9.815657616E0,9.817121914E0
7.158246890E-1,-1.746760458E-1,3.110669367E-2,9.827920914E0,9.829522310E0
7.182128140E-1,-1.603191197E-1,2.632104978E-2,9.830313683E0,9.831656123E0
7.206008870E-1,-1.627119333E-1,9.571290575E-3,9.844670296E0,9.846019501E0
7.229889600E-1,-1.555334777E-1,4.067798331E-2,9.849455833E0,9.850767766E0
7.253770850E-1,-1.603191197E-1,4.546362907E-2,9.837491989E0,9.838903282E0
7.277651570E-1,-1.722832322E-1,3.828516230E-2,9.823135376E0,9.824720652E0
7.301532820E-1,-1.794617027E-1,4.307080805E-2,9.794121742E0,9.795860468E0
7.325413550E-1,-1.794617027E-1,4.067798331E-2,9.786943436E0,9.788673200E0
7.349294800E-1,-1.674975902E-1,2.871387079E-2,9.791728973E0,9.793203573E0
7.373175530E-1,-1.674975902E-1,4.067798331E-2,9.808479309E0,9.809993705E0
7.397056780E-1,-1.818545163E-1,5.024927482E-2,9.796515465E0,9.798332068E0
7.420937510E-1,-1.842473447E-1,2.632104978E-2,9.798908234E0,9.800675612E0
7.444818240E-1,-1.818545163E-1,2.632104978E-2,9.798908234E0,9.800630920E0
